date,lgdp100,core_pce_ann,real_rate
1992-04-01,924.449336203858,2.81463349969458,0.7513796364807299
1992-07-01,925.432596503733,2.35561858286203,0.51484012792849
1992-10-01,926.470051876064,2.92596733699974,0.33985863624466983
1993-01-01,926.63685640227,2.75046063888926,0.4187587922727203
1993-04-01,927.217339279613,3.02712825096612,0.3234736017820299
1993-07-01,927.693359327089,2.21948261190683,0.41989241746458994
1993-10-01,929.044341629097,2.0560173964895,0.5642037111619898
1994-01-01,930.010026832355,1.81961689947156,1.0296240441099203
1994-04-01,931.356108989889,2.67701322688602,1.8831359832306398
1994-07-01,931.9389914798301,2.22098406336586,2.4575239291277295
1994-10-01,933.0780496665079,2.03101820030215,3.18907270978328
1995-01-01,933.43220231259,2.09659629481574,3.8068039156248497
1995-04-01,933.7300810590991,2.36548509523149,4.114548025902689
1995-07-01,934.577208285169,1.89387267081661,3.95603185216985
1995-10-01,935.253994959862,2.00888325006932,3.8782791958127505
1996-01-01,936.0002536329621,1.57147453554888,3.6314059085407298
1996-04-01,937.654440313853,1.89587568059695,3.6170288008662
1996-07-01,938.5474746071241,1.80905424401717,3.7060806375319792
1996-10-01,939.5804901120609,2.27930430016388,3.60952569928953
1997-01-01,940.2238592458691,1.5711747852379,3.6094740559437297
1997-04-01,941.8753643461359,2.07898936016206,3.82445746980192
1997-07-01,943.116202978074,0.928498520757333,4.05551532611433
1997-10-01,943.966438483011,1.26965328259165,4.27926157651048
1998-01-01,944.965187471646,1.17735837516619,4.3925218541563
1998-04-01,945.8866171198389,1.22537683715687,4.584010367668
1998-07-01,947.137698627532,1.41168454333203,4.49933844747539
1998-10-01,948.734084876585,1.27806701398166,3.7777963064732996
1999-01-01,949.669133389329,1.00226501695337,3.6854693460364105
1999-04-01,950.500411574286,1.38389389768647,3.66088970850221
1999-07-01,951.8175819028651,1.46101044498292,4.016574130821191
1999-10-01,953.444935469971,1.88604534689364,4.09270354168972
2000-01-01,953.8070723707759,2.09192617244235,4.21690433867115
2000-04-01,955.611973405274,1.39179112412981,4.858774721736101
2000-07-01,955.713854075646,1.91579691349762,5.01191869598641
2000-10-01,956.3091176541351,1.98377092157355,4.93652897674092
2001-01-01,955.9807804092211,2.58999886406894,3.86779393405112
2001-04-01,956.6033414006981,1.50972980218875,2.48294255556107
2001-07-01,956.2018974965159,1.04976513296749,1.83020094994696
2001-10-01,956.4762961267521,1.9072784557144,0.4227539965095499
2002-01-01,957.3091766836409,1.22555580050539,0.34958602587786003
2002-04-01,957.920013852988,2.19731705245768,0.19511686116959992
