date,core_pce_ann
1979-07-01,7.28071275084212
1979-10-01,8.28785942159275
1980-01-01,9.6648713655218
1980-04-01,8.85348681777391
1980-07-01,8.76810130841828
1980-10-01,9.66308648787812
1981-01-01,8.77262401461196
1981-04-01,7.49861375778814
1981-07-01,7.26814549125994
1981-10-01,7.07790546844843
1982-01-01,5.81776498663775
1982-04-01,5.37257020825924
1982-07-01,6.34343323831954
1982-10-01,5.54859887928989
1983-01-01,5.20907607719654
1983-04-01,3.05449593193584
1983-07-01,6.01943927384448
1983-10-01,3.20472737300762
1984-01-01,4.01413248128858
1984-04-01,4.66278266662011
1984-07-01,3.72853741026209
1984-10-01,2.84848164324705
1985-01-01,5.40920527320273
1985-04-01,3.46140174174647
1985-07-01,4.07383933888332
1985-10-01,2.87214568316763
1986-01-01,4.29728456245569
1986-04-01,2.72925147993113
1986-07-01,2.72719113375923
1986-10-01,3.25530592895483
1987-01-01,2.53060720767503
1987-04-01,3.86073901561983
1987-07-01,3.55066338246492
1987-10-01,4.06123080249204
1988-01-01,3.84772159284811
1988-04-01,4.81105106561219
1988-07-01,4.56282964931668
1988-10-01,4.4641366499444
1989-01-01,4.34301518066017
1989-04-01,3.62095204535516
1989-07-01,2.95315193951854
1989-10-01,3.65759015304874
1990-01-01,4.57950823015045
1990-04-01,4.44259136217431
1990-07-01,4.00704309055187
1990-10-01,3.36096446509541
1991-01-01,3.53162143058234
1991-04-01,3.07715707631414
1991-07-01,3.56723989174974
1991-10-01,3.15120092136754
1992-01-01,3.04830262276176
1992-04-01,2.81463349969458
1992-07-01,2.35561858286203
1992-10-01,2.92596733699974
1993-01-01,2.75046063888926
1993-04-01,3.02712825096612
1993-07-01,2.21948261190683
1993-10-01,2.0560173964895
1994-01-01,1.81961689947156
1994-04-01,2.67701322688602
1994-07-01,2.22098406336586
1994-10-01,2.03101820030215
1995-01-01,2.09659629481574
1995-04-01,2.36548509523149
1995-07-01,1.89387267081661
1995-10-01,2.00888325006932
1996-01-01,1.57147453554888
1996-04-01,1.89587568059695
1996-07-01,1.80905424401717
1996-10-01,2.27930430016388
1997-01-01,1.5711747852379
1997-04-01,2.07898936016206
1997-07-01,0.928498520757333
1997-10-01,1.26965328259165
1998-01-01,1.17735837516619
1998-04-01,1.22537683715687
1998-07-01,1.41168454333203
1998-10-01,1.27806701398166
1999-01-01,1.00226501695337
1999-04-01,1.38389389768647
1999-07-01,1.46101044498292
1999-10-01,1.88604534689364
2000-01-01,2.09192617244235
2000-04-01,1.39179112412981
2000-07-01,1.91579691349762
2000-10-01,1.98377092157355
2001-01-01,2.58999886406894
2001-04-01,1.50972980218875
2001-07-01,1.04976513296749
2001-10-01,1.9072784557144
2002-01-01,1.22555580050539
2002-04-01,2.19731705245768
2002-07-01,2.12117486171161
2002-10-01,1.42678842217594
2003-01-01,1.23328634962694
2003-04-01,1.51359380965006
2003-07-01,1.81974237441468
2003-10-01,1.7936562851423
2004-01-01,2.19511785761737
2004-04-01,2.2786670185339
2004-07-01,1.42381540765644
2004-10-01,2.16744195111762
2005-01-01,2.84150214215834
2005-04-01,1.97490834650676
2005-07-01,1.54584184860494
2005-10-01,2.67026135525244
2006-01-01,2.31698106092472
2006-04-01,3.16867287574703
2006-07-01,2.14135195044602
2006-10-01,1.7280708977928
2007-01-01,2.74233282852049
2007-04-01,1.66575168108137
2007-07-01,1.95012476700944
2007-10-01,2.76627464923992
2008-01-01,2.11526378182989
2008-04-01,1.67318770923175
2008-07-01,2.03249272886536
2008-10-01,-0.310527945196126
2009-01-01,-0.00483585476744475
2009-04-01,1.56259657609517
2009-07-01,1.41048813540817
2009-10-01,2.49137657694281
2010-01-01,1.36876653905451
2010-04-01,1.07425802644547
2010-07-01,0.610927856385105
2010-10-01,1.26388579150406
2011-01-01,1.7527355567936
2011-04-01,2.33508598908885
2011-07-01,1.81518548522321
2011-10-01,1.42728604149762
2012-01-01,2.51811164436799
2012-04-01,1.64984209716442
2012-07-01,1.14960666270168
2012-10-01,1.76882338695014
