date,lgdp100,core_infl_ann,real_rate
1979-04-01,1416.2643084553301,8.65170685996646,2.276142865765461
1979-07-01,1416.77314135413,10.278663725547,3.377302788066121
1979-10-01,1417.7184814340899,10.755890409977,4.333047210089539
1980-01-01,1418.65787289779,12.1862328130262,3.311925192672799
1980-04-01,1418.18721062178,10.0866739322249,3.533539415305599
1980-07-01,1418.13018948833,9.8865195580697,2.4805768778614006
1980-10-01,1418.17715129364,10.3347345301053,3.0737302570279006
1981-01-01,1418.27359256805,11.5140172117651,4.132077628545099
1981-04-01,1418.5726999209,10.5403531060281,6.453913404244201
1981-07-01,1418.84821856197,10.8197082671423,6.9648381297391
1981-10-01,1419.08258823461,10.844592056649,5.9964566966931
1982-01-01,1419.4950203593899,8.48996894640789,5.462066624254
1982-04-01,1419.62943171177,9.29054253512802,5.855086132370991
1982-07-01,1419.09462594499,8.44351339533143,5.2236574206850985
1982-10-01,1419.13751791418,7.86365711072494,5.11005048755413
1983-01-01,1419.801125531,6.90382497627868,4.68019583671013
1983-04-01,1420.45332865738,6.95302993221666,5.22008739178897
1983-07-01,1420.7127889630501,7.42969962862395,5.898471829183939
1983-10-01,1421.8004891021099,7.01891755206673,6.05287749525219
1984-01-01,1422.655971395,6.05399578756056,5.42290201252672
1984-04-01,1422.18230473165,5.3961272640275,5.16102350200471
1984-07-01,1423.20802233632,4.77977529706402,5.32182857352899
1984-10-01,1423.71847562281,5.24642199970962,5.443857455860969
1985-01-01,1423.94293201524,5.6507055648152,5.24778541979481
1985-04-01,1424.89259760258,5.43510310931622,5.34805600742493
1985-07-01,1425.73555175679,2.67900753284784,5.18601797864876
1985-10-01,1426.32996842298,3.56465547493102,4.80831889331546
1986-01-01,1425.98823848295,2.17405821983146,5.811035226601771
1986-04-01,1427.8051618452,1.60819517731083,5.9729002151301795
1986-07-01,1428.31189178268,1.74440759532157,5.904518463539961
1986-10-01,1428.5592247633099,1.69987605543175,6.503953141374461
1987-01-01,1428.07814276178,2.71491103953998,6.62219036609241
1987-04-01,1429.74885900884,2.6750797425852,6.70871330183226
1987-07-01,1430.81704148731,2.64978394103945,6.553503312141141
1987-10-01,1432.08367365866,2.39862738564433,6.3078859343837905
1988-01-01,1432.63435582897,2.27356735378138,5.349894666743721
1988-04-01,1433.54942760779,2.38451303791763,5.21091367469269
1988-07-01,1434.7804233562601,3.05182894247402,5.8928808167858495
1988-10-01,1435.70101776925,3.2891865539291,6.222277334438241
1989-01-01,1436.86880109402,3.42230235004273,7.090517691472931
1989-04-01,1437.81496931187,3.83648964064011,6.923490156390809
1989-07-01,1438.41116784656,3.30773243643799,7.319737677067519
1989-10-01,1439.44782473635,3.72432775174368,8.30536758434007
1990-01-01,1440.79443699595,4.00393395180566,8.334454943192739
1990-04-01,1441.25004502315,3.59916059501735,7.705779678817531
1990-07-01,1442.17322110135,3.28569763643394,7.61912620825014
1990-10-01,1442.73749239609,4.0835500487594,8.10595667297391
1991-01-01,1443.42617575898,3.97180965255424,8.170948613162071
1991-04-01,1443.72277371879,4.39313706081219,7.254550033763261
1991-07-01,1443.69514306386,4.98840149547825,6.87896676780228
1991-10-01,1444.64165071279,4.04640704155236,7.143606786440841
1992-01-01,1446.1399238283,3.93305868617423,7.285629644269441
1992-04-01,1445.37367029969,3.88974260479025,7.558479365351331
1992-07-01,1445.09324873254,3.16344700087447,9.09538693173667
1992-10-01,1444.89309001487,3.29014536517723,8.74044868298355
1993-01-01,1444.2094044873,4.00841197736288,7.876126897921589
1993-04-01,1444.28355387133,3.32040272331828,6.2087825430112895
1993-07-01,1444.6973083199,3.2154481971462,5.12166550974759
1993-10-01,1444.95882419151,2.94772185464779,4.43083510932914
1994-01-01,1445.8811734247,2.28673980330351,4.237843556551731
1994-04-01,1446.50206917814,2.6674047728832,3.89165679626558
1994-07-01,1447.17324085986,3.00718825317165,3.9581412607582798
1994-10-01,1447.96353790707,2.70864312166063,4.15137626611479
1995-01-01,1448.50525810651,2.58417073600983,4.550898286256551
1995-04-01,1449.29916268088,2.46886963313401,4.81101151770833
1995-07-01,1449.5631681114799,2.52004629724906,4.450755987649041
1995-10-01,1449.76648121071,2.22372645191663,4.36966697429216
1996-01-01,1449.9181475738,2.38834840648179,3.47353627556174
1996-04-01,1450.70822195457,2.35446878027215,2.9739728424354994
1996-07-01,1451.19246797557,1.07258313428234,3.1899879197858794
1996-10-01,1451.73372270507,1.40462220306571,2.95488030895752
1997-01-01,1452.02724325661,1.72320083098548,2.9655202872096
1997-04-01,1453.21903654205,1.27526444647175,3.1152073530390605
1997-07-01,1453.9943027684499,1.77931830274679,2.9349921621895096
1997-10-01,1455.0458642716,1.73590803700369,2.9687464050453105
1998-01-01,1455.7618071547402,1.18084997384983,2.8607326952181604
1998-04-01,1456.14890130637,2.10934480145869,2.4971687843983905
1998-07-01,1456.6713198398,1.53920197035492,2.4305141423508596
1998-10-01,1456.9745301167,0.810738518403261,2.3317442146021303
1999-01-01,1457.98518923438,0.907453250758535,1.8392577300626998
1999-04-01,1458.46002240716,0.780480265579944,1.69790724832781
1999-07-01,1459.77219907977,0.771595164961457,1.9570100113795112
1999-10-01,1460.8295821249399,1.02698662422901,2.6676776119456527
2000-01-01,1462.0937306736,0.943046560677364,2.782698501898486
2000-04-01,1463.00136611449,0.877530135759246,3.5350050010774603
2000-07-01,1463.67028320194,1.97300218825918,3.7164525439806493
2000-10-01,1464.14381063252,1.97079357575666,3.7887278831721307
2001-01-01,1465.23896540305,2.08133237115447,3.20220864541806
2001-04-01,1465.2802823055501,4.02335864126256,2.24976232333391
2001-07-01,1465.49083737257,2.31474704856683,1.8349490046166004
2001-10-01,1465.43311156281,2.49164620885593,0.8342018206655002
2002-01-01,1465.65089219803,3.21277717509671,0.45610094995614014
2002-04-01,1466.11139200713,1.92927872822718,1.06839473226059
2002-07-01,1466.56455252407,1.8359459821372,1.0965896804421202
2002-10-01,1466.74661208234,1.85376223609692,1.0018430839558796
2003-01-01,1466.469299542,1.99507666806741,0.8564446873965001
2003-04-01,1466.51490252784,2.17546172419695,0.45560478795762993
2003-07-01,1467.16393237303,2.09632973646164,0.16228219479546002
2003-10-01,1467.80040590063,2.02740582666309,0.12944628748546005
2004-01-01,1468.3132374857998,1.98464030048097,0.04138266884682995
2004-04-01,1468.93525574807,2.13019839327941,0.07514388065726019
2004-07-01,1469.15755117125,1.56969854533123,0.24083152041987987
2004-10-01,1469.5956454519899,1.28496086459239,0.47586002668486005
2005-01-01,1469.87181343576,1.37071112840142,0.6048413654875899
2005-04-01,1470.47296485822,1.32556307016776,0.7895190214527998
2005-07-01,1471.21366638516,1.30516810948113,0.8619701074756099
2005-10-01,1471.9074337465001,1.73062288854392,0.97163316516211
2006-01-01,1472.8475349024,1.22467484564839,1.28871604274358
2006-04-01,1473.93932804078,1.90985066050829,1.4366998903306598
2006-07-01,1474.47861030785,2.08831669438266,1.5816611041851902
2006-10-01,1475.6413067552,1.9451384603319,1.91493203238727
2007-01-01,1476.3322083784801,1.99448700788674,1.9647859555070801
2007-04-01,1477.0007996368402,2.10381793955973,2.17733468959238
2007-07-01,1477.38668978228,2.09154969875153,2.6274926435448798
2007-10-01,1477.89738477213,3.08185878409266,2.5819430437555497
2008-01-01,1478.52715276443,3.19397454963034,2.0249124407550503
2008-04-01,1478.03348119352,2.03658199507277,2.4487974029293897
